Order ID,Date,Customer Name,Region,Category,Product,Quantity,Total Sales
ORD-3060,2025-03-18,Frank Moore,East,Electronics,Smartphone,6,3600
ORD-3061,2025-03-25,Charlie Smith,North,Electronics,Headphones,6,300
ORD-3062,2025-03-10,Frank Davis,West,Furniture,Chair,9,900
ORD-3063,2025-03-04,Bob Davis,South,Office Supplies,Stapler,6,72
ORD-3064,2025-03-26,John Wilson,East,Furniture,Chair,4,400
ORD-3065,2025-03-20,Eve Doe,North,Electronics,Smartphone,10,6000
ORD-3066,2025-03-14,Diana Brown,North,Electronics,Laptop,8,6400
ORD-3067,2025-03-03,Charlie Johnson,East,Electronics,Smartphone,1,600
ORD-3068,2025-03-20,Frank Davis,North,Office Supplies,Stapler,7,84
ORD-3069,2025-03-17,Diana Johnson,North,Office Supplies,Binder,4,20
ORD-3070,2025-03-12,Bob Johnson,East,Electronics,Smartphone,6,3600
ORD-3071,2025-03-16,Bob Johnson,West,Electronics,Monitor,10,1500
ORD-3072,2025-03-26,Frank Wilson,South,Clothing,Jeans,4,160
ORD-3073,2025-03-28,Diana Doe,West,Office Supplies,Stapler,8,96
ORD-3074,2025-03-23,John Brown,South,Clothing,Jacket,6,360
ORD-3075,2025-03-30,Alice Davis,North,Office Supplies,Paper,7,56
ORD-3076,2025-03-27,John Wilson,South,Clothing,Jacket,1,60
ORD-3077,2025-03-08,Jane Davis,North,Furniture,Bookshelf,7,560
ORD-3078,2025-03-13,Charlie Johnson,South,Electronics,Headphones,6,300
ORD-3079,2025-03-08,Eve Johnson,North,Electronics,Headphones,5,250
ORD-3080,2025-03-01,Eve Wilson,East,Office Supplies,Pen Set,9,90
ORD-3081,2025-03-17,Eve Wilson,East,Clothing,Jacket,10,600
ORD-3082,2025-03-16,John Moore,West,Furniture,Desk,8,1600
ORD-3083,2025-03-28,Frank Smith,East,Clothing,Sneakers,1,50
ORD-3084,2025-03-23,Alice Wilson,East,Clothing,Sneakers,5,250
ORD-3085,2025-03-22,Bob Miller,East,Furniture,Bookshelf,7,560
ORD-3086,2025-03-04,Frank Johnson,North,Electronics,Headphones,2,100
ORD-3087,2025-03-24,Diana Doe,East,Office Supplies,Paper,9,72
ORD-3088,2025-03-08,Charlie Brown,South,Office Supplies,Paper,6,48
ORD-3089,2025-03-03,Bob Smith,West,Clothing,Jeans,8,320
ORD-3090,2025-03-27,Frank Wilson,West,Office Supplies,Binder,1,5
ORD-3091,2025-03-01,Diana Brown,South,Clothing,Sneakers,5,250
ORD-3092,2025-03-14,Bob Smith,West,Furniture,Chair,10,1000
ORD-3093,2025-03-09,Eve Doe,South,Office Supplies,Pen Set,5,50
ORD-3094,2025-03-27,Diana Davis,North,Furniture,Bookshelf,3,240
ORD-3095,2025-03-06,John Davis,North,Furniture,Table,7,1050
ORD-3096,2025-03-26,Alice Wilson,North,Furniture,Bookshelf,7,560
ORD-3097,2025-03-29,Alice Johnson,North,Office Supplies,Stapler,6,72
ORD-3098,2025-03-15,Frank Doe,East,Clothing,Jacket,9,540
ORD-3099,2025-03-24,Eve Miller,North,Electronics,Headphones,8,400
ORD-3100,2025-03-01,Alice Davis,South,Office Supplies,Stapler,2,24
